scrapeNum,courseCodes,link
241,CC222,https://academic-calendar.wlu.ca/course.php?c=64958&cal=1&d=2640&s=1047&y=85
242,CC233,https://academic-calendar.wlu.ca/course.php?c=64939&cal=1&d=2640&s=1047&y=85
243,CC240,https://academic-calendar.wlu.ca/course.php?c=64905&cal=1&d=2640&s=1047&y=85
244,CC290,https://academic-calendar.wlu.ca/course.php?c=64944&cal=1&d=2640&s=1047&y=85
245,CC291,https://academic-calendar.wlu.ca/course.php?c=64947&cal=1&d=2640&s=1047&y=85
246,CC292,https://academic-calendar.wlu.ca/course.php?c=64948&cal=1&d=2640&s=1047&y=85
247,CC301,https://academic-calendar.wlu.ca/course.php?c=64914&cal=1&d=2640&s=1047&y=85
248,CC302,https://academic-calendar.wlu.ca/course.php?c=64908&cal=1&d=2640&s=1047&y=85
249,CC303,https://academic-calendar.wlu.ca/course.php?c=64915&cal=1&d=2640&s=1047&y=85
250,CC304,https://academic-calendar.wlu.ca/course.php?c=64929&cal=1&d=2640&s=1047&y=85
251,CC306,https://academic-calendar.wlu.ca/course.php?c=64916&cal=1&d=2640&s=1047&y=85
252,CC308,https://academic-calendar.wlu.ca/course.php?c=64917&cal=1&d=2640&s=1047&y=85
253,CC309,https://academic-calendar.wlu.ca/course.php?c=64913&cal=1&d=2640&s=1047&y=85
254,CC310,https://academic-calendar.wlu.ca/course.php?c=64940&cal=1&d=2640&s=1047&y=85
255,CC311,https://academic-calendar.wlu.ca/course.php?c=64918&cal=1&d=2640&s=1047&y=85
256,CC312,https://academic-calendar.wlu.ca/course.php?c=64921&cal=1&d=2640&s=1047&y=85
257,CC313,https://academic-calendar.wlu.ca/course.php?c=64923&cal=1&d=2640&s=1047&y=85
258,CC314,https://academic-calendar.wlu.ca/course.php?c=64924&cal=1&d=2640&s=1047&y=85
259,CC315,https://academic-calendar.wlu.ca/course.php?c=64935&cal=1&d=2640&s=1047&y=85
260,CC316,https://academic-calendar.wlu.ca/course.php?c=64937&cal=1&d=2640&s=1047&y=85
261,CC317,https://academic-calendar.wlu.ca/course.php?c=64954&cal=1&d=2640&s=1047&y=85
262,CC318,https://academic-calendar.wlu.ca/course.php?c=64931&cal=1&d=2640&s=1047&y=85
263,CC319,https://academic-calendar.wlu.ca/course.php?c=64938&cal=1&d=2640&s=1047&y=85
264,CC324,https://academic-calendar.wlu.ca/course.php?c=64907&cal=1&d=2640&s=1047&y=85
265,CC325,https://academic-calendar.wlu.ca/course.php?c=64933&cal=1&d=2640&s=1047&y=85
266,CC326,https://academic-calendar.wlu.ca/course.php?c=64934&cal=1&d=2640&s=1047&y=85
267,CC327,https://academic-calendar.wlu.ca/course.php?c=64941&cal=1&d=2640&s=1047&y=85
268,CC390,https://academic-calendar.wlu.ca/course.php?c=64945&cal=1&d=2640&s=1047&y=85
269,CC401,https://academic-calendar.wlu.ca/course.php?c=64919&cal=1&d=2640&s=1047&y=85
270,CC404,https://academic-calendar.wlu.ca/course.php?c=64920&cal=1&d=2640&s=1047&y=85
271,CC407,https://academic-calendar.wlu.ca/course.php?c=64955&cal=1&d=2640&s=1047&y=85
272,CC408,https://academic-calendar.wlu.ca/course.php?c=64956&cal=1&d=2640&s=1047&y=85
273,CC409,https://academic-calendar.wlu.ca/course.php?c=64903&cal=1&d=2640&s=1047&y=85
274,CC410,https://academic-calendar.wlu.ca/course.php?c=64922&cal=1&d=2640&s=1047&y=85
275,CC411,https://academic-calendar.wlu.ca/course.php?c=64951&cal=1&d=2640&s=1047&y=85
276,CC412,https://academic-calendar.wlu.ca/course.php?c=64952&cal=1&d=2640&s=1047&y=85
